
Most Actives,MRO,Marathon Oil Corp,5.51,5.60,"33,772,204",$4.3B
Most Actives,OXY,Occidental Petroleum Corp,13.88,14.31,"31,352,419",$13.7B
Most Actives,DIS,Walt Disney Co,105.57,109.05,"24,101,684",$186.3B
Gainers,LB,L Brands Inc,11.18,11.43,"10,237,145",$3.3B
Losers,CTVA,Corteva Inc,26.45,26.79,"4,765,234",$19.1B
Gainers,KIM,Kimco Realty Corp,10.05,10.06,"7,995,353",$4.6B
Losers,TMO,Thermo Fisher Scientific Inc,339.08,342.01,"1,616,078",$130.3B
Gainers,TDG,TransDigm Group Inc,324.55,332.79,"456,860",$18.8B
Gainers,VTR,Ventas Inc,27.08,28.00,"5,577,930",$11.3B
Gainers,KIM,Kimco Realty Corp,10.05,10.06,"7,995,353",$4.6B
Gainers,VTR,Ventas Inc,27.08,28.00,"5,577,930",$11.3B
